   10.50   22.50      -58.06098
   10.50   24.00      -57.81412
   10.50   25.50      -56.89035
   10.50   27.00      -55.50388
   10.50   28.50      -53.62037
   10.50   30.00      -50.63123
   10.50   31.50      -46.07354
   10.50   33.00      -40.79088
   10.50   34.50      -36.42416
   10.50   36.00      -33.31747
   10.50   37.50      -31.37999
   10.50   39.00      -31.26089
   10.50   40.50      -32.56018
   10.50   42.00      -34.44713
   10.50   43.50      -36.01176
   10.50   45.00      -36.96478
   10.50   46.50      -37.61831
   10.50   48.00      -38.77382
   10.50   49.50      -41.38508
   10.50   51.00      -45.66766
   10.50   52.50      -50.54856
   10.50   54.00      -54.80190
   10.50   55.50      -57.99133
   10.50   57.00      -60.11954
   10.50   58.50      -61.08549
   10.50   60.00      -60.79639
   10.50   61.50      -59.30742
   10.50   63.00      -56.85857
   10.50   64.50      -53.82529
   10.50   66.00      -50.59202
   10.50   67.50      -47.45975
   10.50   69.00      -44.61817
   10.50   70.50      -41.87445
   10.50   72.00      -38.44530
   10.50   73.50      -31.88360
 
   12.00    0.00      -19.61490
   12.00    1.50      -22.19395
   12.00    3.00      -23.34045
   12.00    4.50      -24.57711
   12.00    6.00      -26.62574
   12.00    7.50      -29.45927
   12.00    9.00      -33.19611
   12.00   10.50      -38.37765
   12.00   12.00      -43.70468
   12.00   13.50      -48.37790
   12.00   15.00      -52.19090
   12.00   16.50      -55.31810
   12.00   18.00      -57.89195
   12.00   19.50      -59.90594
   12.00   21.00      -61.32543
   12.00   22.50      -62.06495
   12.00   24.00      -61.98354
   12.00   25.50      -61.03352
   12.00   27.00      -59.31914
   12.00   28.50      -56.84768
   12.00   30.00      -53.30910
   12.00   31.50      -48.65950
   12.00   33.00      -43.88812
   12.00   34.50      -39.81924
   12.00   36.00      -36.67237
   12.00   37.50      -34.88904
   12.00   39.00      -35.34942
   12.00   40.50      -37.24913
   12.00   42.00      -39.58033
   12.00   43.50      -41.54395
   12.00   45.00      -42.84198
   12.00   46.50      -43.73373
   12.00   48.00      -45.05257
   12.00   49.50      -47.81725
   12.00   51.00      -52.14161
   12.00   52.50      -56.80560
   12.00   54.00      -60.63113
   12.00   55.50      -63.26499
   12.00   57.00      -64.80480
   12.00   58.50      -65.30833
   12.00   60.00      -64.74409
   12.00   61.50      -63.12360
   12.00   63.00      -60.59788
   12.00   64.50      -57.44730
   12.00   66.00      -54.00889
   12.00   67.50      -50.65793
   12.00   69.00      -47.61810
   12.00   70.50      -44.53404
   12.00   72.00      -40.53126
   12.00   73.50      -33.29915
 
   13.50    0.00      -20.07831
   13.50    1.50      -23.05129
   13.50    3.00      -24.79153
   13.50    4.50      -26.99828
   13.50    6.00      -30.47182
   13.50    7.50      -35.05754
   13.50    9.00      -39.83797
   13.50   10.50      -44.59299
   13.50   12.00      -49.10884
   13.50   13.50      -53.10675
   13.50   15.00      -56.42628
   13.50   16.50      -59.11020
   13.50   18.00      -61.28171
   13.50   19.50      -63.08451
   13.50   21.00      -64.58957
   13.50   22.50      -65.61921
   13.50   24.00      -65.79625
   13.50   25.50      -64.85997
   13.50   27.00      -62.83441
   13.50   28.50      -59.85880
   13.50   30.00      -56.01852
   13.50   31.50      -51.70078
   13.50   33.00      -47.73063
   13.50   34.50      -44.33928
   13.50   36.00      -41.72726
   13.50   37.50      -40.44874
   13.50   39.00      -40.90921
   13.50   40.50      -42.60496
   13.50   42.00      -44.81618
   13.50   43.50      -46.84277
   13.50   45.00      -48.29347
   13.50   46.50      -49.34455
   13.50   48.00      -50.77322
   13.50   49.50      -53.49510
   13.50   51.00      -57.54203
   13.50   52.50      -61.72907
   13.50   54.00      -65.02560
   13.50   55.50      -67.15389
   13.50   57.00      -68.22615
   13.50   58.50      -68.35708
   13.50   60.00      -67.57504
   13.50   61.50      -65.89466
   13.50   63.00      -63.39571
   13.50   64.50      -60.22786
   13.50   66.00      -56.60914
   13.50   67.50      -52.90486
   13.50   69.00      -49.41365
   13.50   70.50      -45.86056
   13.50   72.00      -41.48352
   13.50   73.50      -33.96718
 
   15.00    0.00      -20.08355
   15.00    1.50      -23.49383
   15.00    3.00      -26.14570
   15.00    4.50      -29.70232
   15.00    6.00      -34.63525
   15.00    7.50      -40.15875
   15.00    9.00      -45.22332
   15.00   10.50      -49.49722
   15.00   12.00      -53.25907
   15.00   13.50      -56.63745
   15.00   15.00      -59.55488
   15.00   16.50      -61.95063
   15.00   18.00      -63.89636
   15.00   19.50      -65.61653
   15.00   21.00      -67.27434
   15.00   22.50      -68.63608
   15.00   24.00      -69.12304
   15.00   25.50      -68.30207
   15.00   27.00      -66.14869
   15.00   28.50      -62.92091
   15.00   30.00      -58.98908
   15.00   31.50      -54.96138
   15.00   33.00      -51.53886
   15.00   34.50      -48.81325
   15.00   36.00      -46.83086
   15.00   37.50      -45.88412
   15.00   39.00      -46.12182
   15.00   40.50      -47.32762
   15.00   42.00      -49.16884
   15.00   43.50      -51.08631
   15.00   45.00      -52.56346
   15.00   46.50      -53.72287
   15.00   48.00      -55.24803
   15.00   49.50      -57.87360
   15.00   51.00      -61.55579
   15.00   52.50      -65.25209
   15.00   54.00      -68.06069
   15.00   55.50      -69.74156
   15.00   57.00      -70.41810
   15.00   58.50      -70.24670
   15.00   60.00      -69.30483
   15.00   61.50      -67.61374
   15.00   63.00      -65.18901
   15.00   64.50      -62.06309
   15.00   66.00      -58.34614
   15.00   67.50      -54.35407
   15.00   69.00      -50.43907
   15.00   70.50      -46.47635
   15.00   72.00      -41.85920
   15.00   73.50      -34.22920
 
   16.50    0.00      -19.97641
   16.50    1.50      -23.90656
   16.50    3.00      -27.53924
   16.50    4.50      -32.19554
   16.50    6.00      -37.81547
   16.50    7.50      -43.53969
   16.50    9.00      -48.52422
   16.50   10.50      -52.53706
   16.50   12.00      -55.89535
   16.50   13.50      -58.88161
   16.50   15.00      -61.53534
   16.50   16.50      -63.81032
   16.50   18.00      -65.75174
   16.50   19.50      -67.56716
   16.50   21.00      -69.41959
   16.50   22.50      -71.05519
   16.50   24.00      -71.82060
   16.50   25.50      -71.20845
   16.50   27.00      -69.15717
   16.50   28.50      -65.96737
   16.50   30.00      -62.15010
   16.50   31.50      -58.37556
   16.50   33.00      -55.23919
   16.50   34.50      -52.86253
   16.50   36.00      -51.17845
   16.50   37.50      -50.23533
   16.50   39.00      -50.10206
   16.50   40.50      -50.77927
   16.50   42.00      -52.16670
   16.50   43.50      -53.81899
   16.50   45.00      -55.21249
   16.50   46.50      -56.41227
   16.50   48.00      -57.99492
   16.50   49.50      -60.57799
   16.50   51.00      -64.07049
   16.50   52.50      -67.44773
   16.50   54.00      -69.86609
   16.50   55.50      -71.13528
   16.50   57.00      -71.42725
   16.50   58.50      -70.96264
   16.50   60.00      -69.87051
   16.50   61.50      -68.16776
   16.50   63.00      -65.81239
   16.50   64.50      -62.77895
   16.50   66.00      -59.13489
   16.50   67.50      -55.12439
   16.50   69.00      -51.04455
   16.50   70.50      -46.85967
   16.50   72.00      -42.07534
   16.50   73.50      -34.35247
 
   18.00    0.00      -19.86363
   18.00    1.50      -24.24593
   18.00    3.00      -28.61589
   18.00    4.50      -33.91186
   18.00    6.00      -39.77077
   18.00    7.50      -45.42735
   18.00    9.00      -50.26951
   18.00   10.50      -54.14713
   18.00   12.00      -57.30231
   18.00   13.50      -60.03894
   18.00   15.00      -62.51659
   18.00   16.50      -64.80285
   18.00   18.00      -66.95179
   18.00   19.50      -69.03999
   18.00   21.00      -71.10108
   18.00   22.50      -72.88721
   18.00   24.00      -73.83103
   18.00   25.50      -73.44344
   18.00   27.00      -71.61397
   18.00   28.50      -68.61806
